fecha,prov,sumprov,checkpoint,sfcap,sumsfcap,gsfotros,sumgsfcap,obs,incluir total provincia y total pais,
2020-03-24,,,,,,,,,,
2020-03-25,,,,,,,,,,
2020-03-26,,,,,,,,,,
2020-03-27,,,,,,,,,,
2020-03-28,,,,,,,,,,
2020-03-29,,,,,,,,,,
2020-03-30,,,,,,,,,,
2020-03-31,,,,,,,,,,
2020-04-01,1,1,,,0,,0,,,
2020-04-02,,1,,,0,,0,,,
2020-04-03,,1,,,0,,0,,,
2020-04-04,,1,,,0,,0,,,
2020-04-05,,1,,,0,,0,,,
2020-04-06,,1,,,0,,0,,,
2020-04-07,,1,,,0,,0,,,
2020-04-08,,1,,,0,,0,,,
2020-04-09,1,2,,,0,,0,,,
2020-04-10,,2,,,0,,0,,,
2020-04-11,,2,,,0,,0,,,
2020-04-12,,2,,,0,,0,,,
2020-04-13,,2,,,0,,0,,,
2020-04-14,,2,,,0,,0,,,
2020-04-15,,2,,,0,,0,,,
2020-04-16,,2,,,0,,0,,,
2020-04-17,,2,,,0,,0,,,
2020-04-18,,2,,,0,,0,,,
2020-04-19,,2,,,0,,0,,,
2020-04-20,,2,,,0,,0,,,
2020-04-21,,2,,,0,,0,,,
2020-04-22,,2,,,0,,0,,,
2020-04-23,,2,,,0,,0,,,
2020-04-24,,2,,,0,,0,,,
2020-04-25,,2,,,0,,0,,,
2020-04-26,,2,,,0,,0,,,
2020-04-27,,2,,,0,,0,,,
2020-04-28,,2,,,0,,0,,,
2020-04-29,,2,,,0,,0,,,
2020-04-30,,2,,,0,,0,,,
2020-05-01,,2,,,0,,0,,,
2020-05-02,,2,,,0,,0,,,
2020-05-03,,2,,,0,,0,,,
2020-05-04,,2,,,0,,0,,,
2020-05-05,,2,,,0,,0,,,
2020-05-06,,2,,,0,,0,,,
2020-05-07,1,3,,,0,,0,,,
2020-05-08,,3,,,0,,0,,,
2020-05-09,,3,,,0,,0,,,
2020-05-10,,3,,,0,,0,,,
2020-05-11,,3,,,0,,0,,,
2020-05-12,,3,,,0,,0,,,
2020-05-13,,3,,,0,,0,,,
2020-05-14,,3,,,0,,0,,,
2020-05-15,,3,,,0,,0,,,
2020-05-16,,3,,,0,,0,,,
2020-05-17,,3,,,0,,0,,,
2020-05-18,,3,,,0,,0,,,
2020-05-19,,3,,,0,,0,,,
2020-05-20,,3,,,0,,0,,,
2020-05-21,,3,,,0,,0,,,
2020-05-22,,3,,,0,,0,,,
2020-05-23,,3,,,0,,0,,,
2020-05-24,,3,,,0,,0,,,
2020-05-25,,3,,,0,,0,,,
2020-05-26,,3,,,0,,0,,,
2020-05-27,,3,,,0,,0,,,
2020-05-28,,3,,,0,,0,,,
2020-05-29,,3,,,0,,0,,,
2020-05-30,,3,,,0,,0,,,
2020-05-31,,3,,,0,,0,,,
2020-06-01,,3,,,0,,0,,,
2020-06-02,,3,3,,0,,0,,,
2020-06-03,,3,,,0,,0,,,
2020-06-04,,3,,,0,,0,,,
2020-06-05,,3,,,0,,0,,,
2020-06-06,,3,,,0,,0,,,
2020-06-07,,3,,,0,,0,,,
2020-06-08,,3,,,0,,0,,,
2020-06-09,,3,,,0,,0,,,
2020-06-10,,3,,,0,,0,,,
2020-06-11,,3,,,0,,0,,,
2020-06-12,,3,,,0,,0,,,
2020-06-13,,3,,,0,,0,,,
2020-06-14,,3,,,0,,0,,,
2020-06-15,1,4,,,0,,0,,,
2020-06-16,,4,,,0,,0,,,
2020-06-17,,4,,,0,,0,,,
2020-06-18,,4,,,0,,0,,,
2020-06-19,,4,,,0,,0,,,
2020-06-20,,4,,,0,,0,,,
2020-06-21,,4,,,0,,0,,,
2020-06-22,,4,,,0,,0,,,
2020-06-23,,4,,,0,,0,,,
2020-06-24,,4,,,0,,0,,,
2020-06-25,,4,,,0,,0,,,
2020-06-26,,4,,,0,,0,,,
2020-06-27,,4,,,0,,0,,,
2020-06-28,,4,,,0,,0,,,
2020-06-29,,4,,,0,,0,,,
2020-06-30,,4,,,0,,0,,,
2020-07-01,,4,4,,0,,0,,,
2020-07-02,,4,,,0,,0,,,
2020-07-03,1,5,5,,0,,0,,,
2020-07-04,1,6,6,,0,,0,,,
2020-07-05,,6,,,0,,0,,,
2020-07-06,,6,,,0,,0,,,
2020-07-07,,6,,,0,,0,,,
2020-07-08,1,7,7,,0,,0,,,
2020-07-09,,7,7,,0,,0,,,
2020-07-10,,7,7,,0,,0,,,
2020-07-11,,7,7,,0,,0,,,
2020-07-12,,7,7,,0,,0,,,
2020-07-13,,7,7,,0,,0,,,
2020-07-14,,7,7,,0,,0,,,
2020-07-15,1,8,8,,0,,0,,,
2020-07-16,,8,,,0,,0,,,
2020-07-17,1,9,9,,0,,0,,,
2020-07-18,,9,,,0,,0,,,
2020-07-19,,9,,,0,,0,,,
2020-07-20,,9,,,0,,0,,,
2020-07-21,2,11,,,0,,0,,,
2020-07-22,,11,,,0,,0,,,
2020-07-23,,11,,,0,,0,,,
2020-07-24,,11,,,0,,0,,,
2020-07-25,,11,,,0,,0,,,
2020-07-26,1,12,12,,0,,0,informa por dia anterior,,
2020-07-27,1,13,13,,0,,0,,,
2020-07-28,,13,,,0,,0,,,
2020-07-29,2,15,,,0,,0,otro informe del 31 agrega 1 mas del 29,,
2020-07-30,,15,,,0,,0,,,
2020-07-31,1,16,16,,0,,0,,,
2020-08-01,,16,16,,0,,0,,,
2020-08-02,,16,,,0,,0,,,
2020-08-03,,16,,,0,,0,,,
2020-08-04,2,18,18,,0,,0,2 reportes 1+1,,
2020-08-05,,18,,,0,,0,,,
2020-08-06,3,21,,,0,,0,,,
2020-08-07,,21,,,0,,0,,,
2020-08-08,1,22,22,,0,,0,,,
2020-08-09,1,23,23,,0,,0,,,
2020-08-10,1,24,24,,0,,0,,,
2020-08-11,2,26,26,,0,,0,2 reportes 1+1,,
2020-08-12,,26,,,0,,0,,,
2020-08-13,3,29,29,,0,,0,,,
2020-08-14,,29,,,0,,0,,,
2020-08-15,1,30,30,,0,,0,,,
2020-08-16,2,32,,,0,1,1,1 recreo,,
2020-08-17,,32,,,0,,1,,,
2020-08-18,2,34,34,,0,,1,,,
2020-08-19,2,36,,,0,,1,,,
2020-08-20,5,41,,,0,1,2,santo tome,2 reportes 4+1,6
2020-08-21,7,48,48,1,1,1,4,santo tome,"2 reportes 1+6, el de 6 con fecha 20 pero adentro dice 21",
